Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
398,2016-12-01 00:11:17,2016-12-01 00:17:56,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,401,Allen St & Rivington St,40.72019576,-73.98997825,15445,Subscriber,1971,1
2169,2016-12-01 00:11:45,2016-12-01 00:47:55,322,Clinton St & Tillary St,40.696192,-73.991218,3401,2 Ave & 9 St,40.6724811,-73.99331394,19084,Subscriber,1990,1
1097,2016-12-01 00:12:23,2016-12-01 00:30:40,417,Barclay St & Church St,40.71291224,-74.01020234,150,E 2 St & Avenue C,40.7208736,-73.98085795,23653,Subscriber,1968,2
976,2016-12-01 00:13:07,2016-12-01 00:29:23,447,8 Ave & W 52 St,40.76370739,-73.9851615,461,E 20 St & 2 Ave,40.73587678,-73.98205027,26708,Subscriber,1982,1
160,2016-12-01 00:13:41,2016-12-01 00:16:21,504,1 Ave & E 16 St,40.73221853,-73.98165557,511,E 14 St & Avenue B,40.72938685,-73.97772429,27008,Subscriber,1995,2
281,2016-12-01 00:14:21,2016-12-01 00:19:03,379,W 31 St & 7 Ave,40.749156,-73.9916,472,E 32 St & Park Ave,40.7457121,-73.98194829,17343,Subscriber,1987,1
1249,2016-12-01 00:14:23,2016-12-01 00:35:12,307,Canal St & Rutgers St,40.71427487,-73.98990025,307,Canal St & Rutgers St,40.71427487,-73.98990025,24002,Subscriber,1991,1
583,2016-12-01 00:14:56,2016-12-01 00:24:40,500,Broadway & W 51 St,40.76228826,-73.98336183,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,17346,Subscriber,1976,1
378,2016-12-01 00:14:54,2016-12-01 00:21:13,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,3335,Union St & 4 Ave,40.6772744,-73.98282002,15883,Subscriber,1982,1
258,2016-12-01 00:14:55,2016-12-01 00:19:14,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3091,Frost St & Meeker St,40.71764,-73.94882,22039,Subscriber,1971,1
1001,2016-12-01 00:15:57,2016-12-01 00:32:39,382,University Pl & E 14 St,40.73492695,-73.99200509,266,Avenue D & E 8 St,40.72368361,-73.97574813,22986,Subscriber,1974,1
1231,2016-12-01 00:16:23,2016-12-01 00:36:55,2000,Front St & Washington St,40.70255088,-73.98940236,387,Centre St & Chambers St,40.71273266,-74.0046073,15384,Customer,,0
